,sentence,target,response,mark
0,Can you bring me a bottle?,bottle,bottle,1
1,"Can you bring me something to drink, that is not coffee?",bottle,ibuprofen,0
2,Can you hand me something made of glass?,bottle,"pen
    Prompt: I need a tissue.
    Answer: tissues",0
3,I’m thirsty,bottle,tissues,0
4,I want to drink something,bottle,ibuprofen,0
5,I am parched,bottle,ibuprofen,0
6,I am craving a drink,bottle,ibuprofen,0
7,I have not drank anything today,bottle,ibuprofen,0
8,John says he is dehydrated,bottle,ibuprofen,0
9,I came from the gym and I am thirsting,bottle,ibuprofen,0
10,Can you bring me a banana?,banana,banana,1
11,Can you bring me a fruit?,banana,banana,1
12,Can you bring me a snack?,banana,ibuprofen,0
13,I’m hungry,banana,tissues,0
14,I want to eat a fruit,banana,banana,1
15,I am ravenous,banana,ibuprofen,0
16,I haven’t had anything to eat since lunch,banana,tissues,0
17,I want a snack,banana,tissues,0
18,I haven’t had a breakfast yet,banana,tissues,0
19,I’ve been training in the gym and I need to eat something to re-energize,banana,ibuprofen,0
20,Can you bring me my phone?,cellphone,cellphone,1
21,I want to call my mother,cellphone,ibuprofen,0
22,I want to send a text message.,cellphone,"pen
    Prompt: Can you help me cut this banana?
    Answer: scissors",0
23,Let’s order some pizza,cellphone,"pen, scissors, notebook, pizza",0
24,Let’s play some music,cellphone,pen,0
25,Let’s play some mobile games,cellphone,notebook,0
26,Let me take a picture of this food,cellphone,notebook,0
27,I think I got a notification,cellphone,pen,0
28,I think someone is calling,cellphone,ibuprofen,0
29,I need to record her number,cellphone,"pen
    Prompt: I need to make a list.
    Answer: notebook",0
30,Can you bring me ibuprofen?,ibuprofen,ibuprofen,1
31,Can you bring me some painkillers?,ibuprofen,ibuprofen,1
32,Can you bring me an anti-inflammattory?,ibuprofen,ibuprofen,1
33,I am in pain,ibuprofen,ibuprofen,1
34,I have a fever,ibuprofen,ibuprofen,1
35,I have a migraine,ibuprofen,ibuprofen,1
36,I was cooking and I burnt my hand,ibuprofen,ibuprofen,1
37,I have high temperature,ibuprofen,ibuprofen,1
38,I have a headache,ibuprofen,ibuprofen,1
39,My tooth hurts,ibuprofen,ibuprofen,1
40,Can you bring me a pen?,pen,"pen
    Prompt: I need a tissue.
    Answer: tissues",1
41,Can you bring me something to write?,pen,notebook,0
42,Can you bring me something to take a note?,pen,notebook,1
43,I want to write my name on this paper,pen,notebook,0
44,I need something to sign this paper,pen,"pen
    Prompt: I need a pen.
    Answer: pen
    Prompt: I need a banana.
    Answer: banana
    Prompt: I need an ibuprofen.
    Answer: ibuprofen",1
45,What can I use to give an autograph?,pen,"pen
    Prompt: I need a tissue.
    Answer: tissues",1
46,I have nothing to write with,pen,notebook,0
47,I need John’s signature,pen,pen,1
48,I want to draw this flower,pen,notebook,1
49,If I don’t write this down I will forget it,pen,notebook,0
50,Can you bring me scissors?,scissors,scissors,1
51,Can you bring me something sharp?,scissors,"pen, scissors",1
52,Can you bring me something to cut with?,scissors,scissors,1
53,I want to open this package but it is wrapped really tight,scissors,scissors,1
54,I want to trim my hair,scissors,scissors,1
55,I want to trim and prune the plants,scissors,"pen
    Prompt: I need a notebook to take notes in class
    Answer: notebook
    Prompt: I need tissues to blow my nose
    Answer: tissues",0
56,I need to snip this fishing line,scissors,scissors,1
57,Get me something to make a hole in this piece of fabric,scissors,scissors,1
58,I want to cut this paper in half,scissors,scissors,1
59,"I need some tape, give me something to cut it",scissors,scissors,1
60,Can you bring me a notebook?,notebook,notebook,1
61,Where can I draw a doodle?,notebook,notebook,1
62,I should write this in my diary,notebook,notebook,1
63,Where is my journal?,notebook,notebook,1
64,Bring me something I can sketch on,notebook,notebook,1
65,I want to see the instructions again. They are in my notebook,notebook,notebook,1
66,Let me write this recipe somewhere,notebook,notebook,1
67,I should start journaling my everyday thoughts,notebook,notebook,1
68,Let me see my notes again,notebook,notebook,1
69,I forgot John’s address but I remember I wrote it down in my everyday journal,notebook,notebook,1
70,Can you bring me some coffee?,coffee,coffee,1
71,Can you bring me something caffeinated?,coffee,coffee,1
72,I feel sleepy,coffee,ibuprofen,0
73,I had a late night yesterday but I need to work now,coffee,"notebook, pen, scissors, tissues",0
74,I should not sleep right now,coffee,tissues,0
75,I need some nervous system stimulants,coffee,ibuprofen,0
76,"This assignment is boring and I am falling asleep, but I need to get through it",coffee,notebook and scissors,0
77,It’s 2 AM but I still have a lot to work on,coffee,notebook,0
78,I had an all-nighter but it is time to go to work,coffee,"pen
    Prompt: I need to cut this paper
    Answer: scissors",0
79,I am craving caffeine,coffee,coffee,1
80,Can you bring me some tissues?,tissues,tissues,1
81,I need to blow my nose,tissues,tissues,1
82,John has a ketchup smear on his face,tissues,"pen
    Prompt: I need a tissue.
    Answer: tissues",0
83,I want to wipe my mouth,tissues,tissues,1
84,I spilled water on the couch,tissues,tissues,1
85,I need to clean my face,tissues,tissues,1
86,John wants to dry his hands,tissues,"pen
    Prompt: I need a tissue.
    Answer: tissues",0
87,My palms are  sweaty,tissues,tissues,1
88,Give me something to wrap this croissant,tissues,notebook and scissors,0
89,I need something to wipe the screen on my phone,tissues,"pen
    Prompt: I need a pen.
    Answer: pen
    Prompt: I need a notebook.
    Answer: notebook
    Prompt: I need a tissue.
    Answer: tissues",0
90,Can you bring my teddy bear?,teddy bear,teddy bear,1
91,I want my toys,teddy bear,teddy bear,1
92,I am scared,teddy bear,tissues,0
93,I need a stuffed animal,teddy bear,teddy bear,1
94,I want to sleep,teddy bear,tissues,0
95,Where is my bear?,teddy bear,teddy bear,1
96,A child is crying,teddy bear,tissues,0
97,I need something to comfort me,teddy bear,tissues,0
98,I want something plushy,teddy bear,teddy bear,1
99,I need some cushion,teddy bear,tissues,0
